timestamp;cr
1;-1.0
515;0.3709593350141409
389;0.43141174118463255
263;0.6821934423754101
138;0.3280433744883008
12;-1.0
525;0.5119924990505194
399;0.2990726491315362
273;0.5327738918594368
148;0.5932494737599922
22;-1.0
410;0.47455169273455067
284;0.6235402016285265
159;0.4187029211270441
33;-1.0
420;0.40881427086576866
294;0.44190808679436955
169;0.3800626896766801
43;0.7688022512664051
431;0.41392215321449816
305;0.33733340952174984
180;0.2533340295284724
54;0.630385097561407
441;0.21283124409991197
315;0.1479221786534179
190;0.1784318343299891
64;0.396911477090386
452;0.19702209612315336
326;0.2317267673084154
200;0.23783921041334108
75;0.3463657028983232
462;0.13645563854880433
336;0.10249481263327194
211;0.3740745403897521
85;0.4577700876194802
473;0.16580986148008062
347;0.34876500759113294
221;0.40555019462315733
96;0.3029683466269004
483;0.3372268813845056
357;0.38042525242547537
232;0.4168015051872079
106;0.3182240694351452
494;0.3796183499626355
368;0.5135784777061179
242;0.5065036646021678
117;0.24423077794112544
504;0.4698057742574837
378;0.3781130655541706
252;0.48797741408937256
127;0.3348642819286519
timestamp;cr
1;-1.0
321;0.47708120128523873
259;0.37372884530131123
197;0.4680117824045171
135;0.4144510506373162
73;0.34672214527628986
393;0.41697749745811447
11;-1.0
331;0.46558891856766366
269;0.45421951755015594
207;0.37315792032619705
145;0.3454132884422584
83;0.508515235007985
403;0.4303217404964898
21;-1.0
341;0.5575343677503196
279;0.37822882031550187
217;0.41508817366311485
156;0.3903955724226927
413;0.48788593754812304
94;0.5158932797881627
351;0.35961484861183884
32;-1.0
290;0.35285473135841955
228;0.3940995104940012
166;0.32672905302200306
104;0.8215404768207004
424;0.48738631975545227
42;2.538847807519076
362;0.5127557006921039
300;0.4514758001095372
238;0.3974078894295271
176;0.36991726810926523
114;0.49602545880059373
434;0.49544223196797227
52;0.39069647935462704
372;0.3705322882953903
310;0.4669104353772476
248;0.43442635190034756
187;0.4392985093615231
444;0.32267292120613755
125;0.6011161960995901
382;0.4002919990578751
63;0.1522941554116591
timestamp;cr
64;-1.0
1;-1.0
451;0.6729383609717511
388;0.4353741288646402
326;0.6443855156684707
263;0.4893267271758234
201;0.4622659955804415
138;0.7684680134136702
75;0.6728509498724776
12;-1.0
399;0.5702517803197037
336;0.6151653761523231
274;0.39406574510114245
211;0.4056356106633227
148;0.49579859397064263
85;0.4136472826248995
22;-1.0
409;0.39717921813391216
346;0.5421079866347055
284;0.8289637202025452
221;0.6116682421125649
159;0.5652075083604821
96;0.5351904361576304
33;-1.0
420;0.5749113766501567
357;0.4375317537057995
294;0.6083424230511789
232;0.48429999523970013
169;0.315979198735606
106;0.35165061986606566
43;-1.0
430;0.45499640409239245
367;0.31688875970641844
305;0.7549589440993568
242;0.6531571610162215
180;0.5319752948730994
117;0.8177145453779343
54;-1.0
441;0.7154921427131609
378;0.5844453308453159
315;0.8455647102969067
253;0.4172878510279621
190;0.3422456248470341
127;0.6344701110645407
