timestamp;actions
1;keySensitiveBolt@1.0:
321;keySensitiveBolt@3.0:
259;keySensitiveBolt@3.0:
197;keySensitiveBolt@3.0:
135;keySensitiveBolt@3.0:
73;keySensitiveBolt@3.0:
393;keySensitiveBolt@3.0:
11;keySensitiveBolt@1.0:
331;keySensitiveBolt@3.0:
269;keySensitiveBolt@3.0:
207;keySensitiveBolt@3.0:
145;keySensitiveBolt@3.0:
83;keySensitiveBolt@3.0:
403;keySensitiveBolt@3.0:
21;keySensitiveBolt@1.0:
341;keySensitiveBolt@3.0:
279;keySensitiveBolt@3.0:
217;keySensitiveBolt@3.0:
156;keySensitiveBolt@3.0:
413;keySensitiveBolt@3.0:
94;keySensitiveBolt@3.0:
351;keySensitiveBolt@3.0:
32;keySensitiveBolt@1.0:
290;keySensitiveBolt@3.0:
228;keySensitiveBolt@3.0:
166;keySensitiveBolt@3.0:
104;keySensitiveBolt@3.0:
424;keySensitiveBolt@3.0:
42;keySensitiveBolt@1.0:
362;keySensitiveBolt@3.0:
300;keySensitiveBolt@3.0:
238;keySensitiveBolt@3.0:
176;keySensitiveBolt@3.0:
114;keySensitiveBolt@3.0:
434;keySensitiveBolt@3.0:
372;keySensitiveBolt@3.0:
310;keySensitiveBolt@3.0:
248;keySensitiveBolt@3.0:
187;keySensitiveBolt@3.0:
444;keySensitiveBolt@3.0:
125;keySensitiveBolt@3.0:
382;keySensitiveBolt@3.0:
63;keySensitiveBolt@3.0:
