timestamp;throughput
64;19.629
1;0.0
451;41.129
388;44.828
326;50.017
263;58.617
201;71.294
138;95.648
75;158.502
12;0.0
399;44.077
336;48.869
274;57.174
211;68.806
148;90.795
85;154.815
22;22.171
409;43.473
346;48.059
284;55.182
221;66.047
159;85.153
96;134.775
33;19.176
420;42.686
357;47.085
294;54.001
232;64.288
169;81.223
106;124.077
43;19.785
430;42.233
367;46.426
305;52.566
242;61.912
180;76.858
117;110.446
54;20.135
441;41.639
378;45.512
315;51.093
253;60.427
190;74.626
127;103.305
