"timestamp";"COUNT(b.component)"
"34";"2"
"36";"2"
"38";"2"
"41";"2"
"43";"2"
"45";"1"
"83";"8"
"86";"8"
"88";"8"
"90";"8"
"92";"8"
"94";"8"
"96";"8"
"98";"8"
"100";"8"
"102";"8"
"104";"8"
"106";"8"
"108";"8"
"110";"8"
"112";"8"
"114";"8"
"117";"8"
"119";"8"
"121";"8"
"123";"8"
"125";"8"
"127";"8"
"129";"8"
"131";"8"
"133";"8"
"135";"8"
"137";"8"
"139";"8"
"141";"8"
"143";"8"
"146";"8"
"148";"8"
"150";"8"
"152";"8"
"154";"8"
"156";"8"
"158";"8"
"160";"8"
"162";"8"
"165";"8"
"167";"8"
"169";"8"
"171";"8"
"173";"8"
"175";"8"
"177";"8"
"179";"8"
"181";"8"
"183";"8"
"185";"8"
"187";"8"
"189";"8"
"191";"8"
"194";"8"
"196";"8"
"198";"8"
"200";"8"
"202";"8"
"204";"8"
"206";"8"
"208";"8"
"210";"8"
"212";"8"
"214";"8"
"216";"8"
"218";"8"
"220";"8"
"223";"8"
"225";"8"
"227";"8"
"229";"8"
"231";"8"
"233";"8"
"235";"8"
"237";"8"
"239";"8"
"241";"8"
"243";"8"
"245";"8"
"247";"8"
"249";"8"
"251";"8"
"254";"8"
"256";"8"
"258";"8"
"260";"8"
"262";"8"
"264";"8"
"266";"8"
"268";"8"
"270";"8"
"272";"8"
"274";"8"
"276";"8"
"278";"8"
"280";"8"
"282";"8"
"285";"8"
"287";"8"
"290";"8"
"292";"8"
"294";"8"
"296";"8"
"298";"8"
"300";"8"
"302";"8"
"304";"8"
"306";"8"
"308";"8"
"310";"8"
"312";"8"
"314";"8"
"317";"8"
"319";"8"
"321";"8"
"323";"8"
"325";"8"
"327";"8"
"329";"8"
"331";"8"
"333";"8"
"335";"8"
"337";"8"
"339";"8"
"341";"8"
"343";"8"
"345";"8"
"348";"8"
"350";"8"
"352";"8"
"354";"8"
"356";"8"
"358";"8"
"360";"8"
"362";"8"
"364";"8"
"366";"8"
"368";"8"
"370";"8"
"372";"8"
"374";"8"
"376";"8"
"378";"8"
"381";"8"
"383";"8"
"385";"8"
"387";"8"
"389";"8"
"391";"8"
"393";"8"
"395";"8"
"397";"8"
"399";"8"
"401";"8"
"403";"8"
"405";"8"
"407";"8"
"409";"8"
"411";"8"
"414";"8"
"416";"8"
"418";"8"
"420";"8"
"422";"8"
"424";"8"
"426";"8"
"428";"8"
"430";"8"
"432";"8"
"434";"8"
"436";"8"
"438";"8"
"440";"8"
"442";"8"
"444";"8"
"447";"8"
"449";"8"
"451";"8"
"453";"8"
"455";"8"
"457";"8"
"459";"8"
"461";"8"
"463";"8"
"465";"8"
"467";"8"
"469";"8"
"471";"8"
"473";"8"
"475";"8"
"477";"8"
"480";"8"
"482";"8"
"484";"8"
"486";"8"
"488";"8"
"490";"8"
"492";"8"
"494";"8"
"496";"8"
"498";"8"
"500";"8"
"502";"8"
"504";"8"
"506";"8"
"508";"8"
"510";"8"
"512";"8"
"515";"8"
"517";"8"
"519";"8"
"521";"8"
"523";"8"
"525";"8"
"527";"8"
"529";"8"
"531";"8"
"533";"8"
"535";"8"
"537";"8"
"539";"8"
"541";"8"
"543";"8"
"545";"8"
"548";"8"
"550";"8"
"552";"8"
"554";"8"
"556";"8"
"558";"8"
"560";"8"
"562";"8"
"564";"8"
"566";"8"
"568";"8"
"570";"8"
"572";"8"
"574";"8"
"576";"8"
"578";"8"
"580";"8"
"583";"8"
"585";"8"
"587";"8"
"589";"8"
"591";"8"
"593";"8"
"595";"8"
"597";"8"
"599";"8"
"601";"8"
"603";"8"
"605";"8"
"607";"8"
"609";"8"
"611";"8"
"613";"8"
"616";"8"
"618";"8"
"620";"8"
"622";"8"
"624";"8"
"626";"8"
"628";"8"
"630";"8"
"632";"8"
"634";"8"
"636";"8"
"638";"8"
"640";"8"
"642";"8"
"644";"8"
"646";"8"
"648";"8"
"651";"8"
"653";"8"
"655";"8"
"657";"8"
"659";"8"
"661";"8"
"663";"8"
"665";"8"
"667";"8"
"669";"8"
"671";"8"
"673";"8"
"675";"8"
"677";"8"
"679";"8"
"681";"8"
"683";"8"
"685";"8"
"688";"8"
"690";"8"
"692";"8"
"694";"8"
"696";"8"
"698";"8"
"700";"8"
"702";"8"
"704";"8"
"706";"8"
"708";"8"
"710";"8"
