timestamp;cpu_usage
1;50.0
258;119.5656
516;116.62559999999999
134;130.6214
392;86.8014
11;155.044
268;88.05239999999999
145;96.1656
402;118.57679999999999
21;96.4076
278;118.8432
155;129.006
412;94.1392
32;120.4164
289;89.19539999999999
165;95.27399999999999
423;125.424
42;104.176
299;128.8196
176;96.02959999999999
433;94.4384
52;96.37119999999999
309;91.79299999999999
186;121.174
443;113.86519999999997
62;117.264
320;91.20799999999998
196;97.62199999999999
454;86.1304
73;97.95720000000001
330;119.28900000000002
206;115.98079999999999
464;85.10719999999999
83;133.284
340;96.6828
217;87.99040000000001
474;117.41520000000001
93;99.83
351;123.14719999999998
227;124.52000000000001
485;90.662
103;89.076
361;86.8496
237;92.001
495;118.252
114;124.627
371;126.58100000000002
248;97.80059999999999
505;84.668
124;95.43599999999999
381;91.146
