timestamp;latency
1;12.5
258;7.117
516;6.942
134;7.177
392;6.889
11;9.34
268;7.101
145;7.071
402;6.894
21;8.311
278;7.074
155;7.167
412;6.922
32;7.254
289;7.079
165;7.11
423;6.968
42;7.66
299;7.078
176;7.061
433;6.944
52;7.529
309;7.061
186;7.045
443;6.943
62;7.329
320;7.016
196;6.973
454;6.946
73;7.421
330;7.017
206;7.072
464;6.976
83;7.66
340;7.006
217;7.096
474;6.989
93;7.45
351;6.997
227;7.075
485;6.974
103;7.423
361;7.004
237;7.077
495;6.956
114;7.331
371;6.955
248;7.087
505;6.94
124;7.23
381;6.905
